Date,Field turbidity (1m NTU),Satellite raw value
"May 24, 2020, 3:00:00 AM",,1.82
"May 29, 2020, 3:00:00 AM",,1.865
"Jun 8, 2020, 3:00:00 AM",,1.891
"Jun 13, 2020, 3:00:00 AM",,1.867
"Jun 18, 2020, 3:00:00 AM",,1.81
"Jun 23, 2020, 3:00:00 AM",,1.855
"Jun 28, 2020, 3:00:00 AM",,1.884
"Jul 3, 2020, 3:00:00 AM",,1.647
"Jul 8, 2020, 3:00:00 AM",,1.728
"Jul 13, 2020, 3:00:00 AM",,1.666
"Jul 18, 2020, 3:00:00 AM",,1.724
"Jul 23, 2020, 3:00:00 AM",,1.683
"Jul 28, 2020, 3:00:00 AM",,1.732
"Aug 2, 2020, 3:00:00 AM",,1.738
"Aug 7, 2020, 3:00:00 AM",,1.667
"Aug 12, 2020, 3:00:00 AM",,1.5
"Aug 17, 2020, 3:00:00 AM",,1.557
"Aug 22, 2020, 3:00:00 AM",,1.5
"Aug 27, 2020, 3:00:00 AM",,1.638
"Sep 21, 2020, 3:00:00 AM",,1.672
"Sep 26, 2020, 3:00:00 AM",,1.8
"Oct 1, 2020, 3:00:00 AM",,1.524
"Oct 6, 2020, 3:00:00 AM",,1.852
"Nov 5, 2020, 2:00:00 AM",,1.807
"Nov 25, 2020, 2:00:00 AM",,1.619
"Dec 5, 2020, 2:00:00 AM",,1.791
"Dec 10, 2020, 2:00:00 AM",,1.815
"Dec 15, 2020, 2:00:00 AM",,1.652
"Dec 20, 2020, 2:00:00 AM",,1.668
"Dec 30, 2020, 2:00:00 AM",,1.55
"Jan 19, 2021, 2:00:00 AM",,1.633
"Feb 3, 2021, 2:00:00 AM",,1.887
"Feb 13, 2021, 2:00:00 AM",,1.685
"Feb 28, 2021, 2:00:00 AM",,1.537
"Mar 25, 2021, 2:00:00 AM",,1.749
"Apr 9, 2021, 3:00:00 AM",,1.782
"May 9, 2021, 3:00:00 AM",,1.747
"May 14, 2021, 3:00:00 AM",,1.777
"May 19, 2021, 3:00:00 AM",,1.84
"May 24, 2021, 3:00:00 AM",,1.795
"May 29, 2021, 3:00:00 AM",,1.818
"Jun 3, 2021, 3:00:00 AM",,1.822
"Jun 8, 2021, 3:00:00 AM",,1.817
"Jun 13, 2021, 3:00:00 AM",,1.86
"Jun 18, 2021, 3:00:00 AM",,1.686
"Jun 23, 2021, 3:00:00 AM",,1.912
"Jun 28, 2021, 3:00:00 AM",,1.714
"Jul 3, 2021, 3:00:00 AM",,1.799
"Jul 8, 2021, 3:00:00 AM",,1.679
"Jul 13, 2021, 3:00:00 AM",,1.513
"Jul 18, 2021, 3:00:00 AM",,1.776
"Aug 2, 2021, 3:00:00 AM",,1.663
"Aug 7, 2021, 3:00:00 AM",,1.859
"Aug 12, 2021, 3:00:00 AM",,1.639
"Aug 22, 2021, 3:00:00 AM",,1.606
"Aug 27, 2021, 3:00:00 AM",,1.818
"Sep 1, 2021, 3:00:00 AM",,1.62
"Sep 11, 2021, 3:00:00 AM",,1.527
"Oct 1, 2021, 3:00:00 AM",,1.602
"Oct 11, 2021, 3:00:00 AM",,1.632
"Oct 21, 2021, 3:00:00 AM",,1.667
"Oct 26, 2021, 3:00:00 AM",,1.675
"Nov 10, 2021, 2:00:00 AM",,1.823
"Nov 15, 2021, 2:00:00 AM",,1.793
"Nov 20, 2021, 2:00:00 AM",,1.651
"Nov 25, 2021, 2:00:00 AM",,1.692
"Dec 5, 2021, 2:00:00 AM",,1.652
"Dec 20, 2021, 2:00:00 AM",,1.841
"Jan 14, 2022, 2:00:00 AM",,1.594
"Jan 19, 2022, 2:00:00 AM",,1.582
"Feb 18, 2022, 2:00:00 AM",,1.506
"Mar 15, 2022, 2:00:00 AM",,1.618
"Mar 20, 2022, 2:00:00 AM",,1.966
"Mar 25, 2022, 2:00:00 AM",,1.721
"Mar 30, 2022, 3:00:00 AM",,1.81
"Apr 9, 2022, 3:00:00 AM",,1.664
"Apr 14, 2022, 3:00:00 AM",,1.691
"Apr 19, 2022, 3:00:00 AM",,1.835
"Apr 24, 2022, 3:00:00 AM",,1.851
"May 4, 2022, 3:00:00 AM",,1.912
