                    MONTHLY CLIMATOLOGICAL SUMMARY for FEB. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  17.1  18.0   10:40 16.2   00:00     87   76   0.2   38.9   86.9   20:30   SSE
 02  17.3  18.2   10:50 16.8   04:00     87   78   0.0   32.1   80.5   01:30   SSE
 03  17.8  18.8   10:00 16.5   23:50     81   52   0.0    7.7   46.7   00:59   NNW
 04  17.9  20.6   15:00 15.6   20:00     69   48   0.0    9.5   46.7   21:20   NNW
 05  18.2  23.3   13:00 15.1   06:50     79   35   0.0    6.5   32.2   02:50   NNW
 06  16.0  18.9   15:40 13.6   07:00     86   68   0.0    1.9   14.5   12:00   SSE
 07  15.8  17.9   11:40 13.6   03:40     88   72   0.2    7.0   27.4   23:00   SSE
 08  16.8  17.4   12:20 16.1   00:40     89   78   0.0   27.4   67.6   17:10   SSE
 09  17.3  19.5   14:20 15.3   06:50     91   72   0.0    7.8   40.2   00:10   SSE
 10  17.1  20.4   14:40 13.6   23:20     86   47   0.0    5.7   27.4   13:50   SSE
 11  15.9  18.1   12:10 13.4   04:30     87   68   0.0   12.7   40.2   19:20   SSE
 12  16.6  19.9   13:00 13.3   23:50     83   43   0.2   10.6   33.8   00:10   NNW
 13  15.7  19.4   14:00 12.9   05:20     67   37   0.0    9.0   29.0   10:40   NNW
 14  16.3  18.3   11:20 14.9   00:00     82   59   1.0   13.9   45.1   22:20     S
 15  12.3  16.4   01:00  8.8   23:50     85   45   1.0   16.7   46.7   23:30   NNW
 16   7.6   9.6   11:20  6.3   23:40     67   42   0.0   26.3   66.0   01:20   NNW
 17   6.8   9.4   15:00  4.2   07:20     57   32   0.0   28.6   69.2   11:00   NNW
 18  10.2  13.1   15:00  6.7   00:40     67   36   0.0   21.3   54.7   05:20   NNW
 19  12.8  16.6   14:10  9.8   06:00     70   35   0.0   16.3   40.2   02:20   NNW
 20  12.7  16.3   14:20  9.4   03:40     62   36   0.0    8.2   32.2   12:10   NNW
 21  12.8  14.6   21:20 11.6   00:50     84   59   5.2    7.6   41.8   12:00   SSE
 22  14.1  16.8   14:00 11.7   23:00     86   52   0.4    5.0   30.6   00:10   NNW
 23  14.9  18.1   15:00 11.8   00:50     75   39   0.0    3.7   20.9   14:20   NNW
 24  20.0  24.8   13:30 15.3   00:00     45   28   0.0   14.8   38.6   15:30   NNW
 25  17.8  20.7   12:20 14.9   06:20     64   34   0.0    7.7   40.2   00:40   NNW
 26  16.5  20.6   14:30 13.2   05:50     71   46   0.0    4.3   25.7   13:50   SSE
 27  15.7  18.8   12:40 12.6   06:30     76   59   0.0    3.5   22.5   12:50   SSE
 28  16.4  20.3   15:40 13.1   05:10     75   45   0.0   11.0   54.7   20:20   NNW
------------------------------------------------------------------------------------
     15.2  24.8    24    4.2    17     76.6 50.8   8.2   13.1   86.9       1   NNW
