                    MONTHLY CLIMATOLOGICAL SUMMARY for MAR. 2020                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  13.9  17.9   14:40 10.9   03:40     69   43   0.0   13.5   45.1   07:40   NNW
 02  14.2  18.0   15:00 10.8   05:20     83   49   0.0    4.9   27.4   15:20    NW
 03  15.1  16.8   14:20 12.9   00:20     87   69   0.0   11.9   37.0   23:20   SSE
 04  16.3  17.6   11:40 15.2   00:40     83   74   0.0   25.1   51.5   07:30    SE
 05  15.9  18.8   14:10 12.8   23:50     88   57   9.4   11.6   56.3   02:20   WSW
 06  15.0  17.9   16:40 12.3   01:30     86   53   0.0    4.1   20.9   12:00   WSW
 07  15.4  18.0   12:20 12.4   05:00     85   65   0.0    8.0   27.4   14:00   SSE
 08  16.2  17.8   12:30 15.3   04:40     87   75   0.0   11.7   25.7   09:50   SSE
 09  15.8  19.2   12:20 11.2   19:10     89   63  14.2   16.6   75.6   18:10    SE
 10  15.3  18.3   12:50 12.1   00:00     86   49   0.4    7.3   32.2   02:40     S
 11  15.1  17.2   11:50 12.8   04:40     83   62   0.0    4.7   25.7   22:10     S
 12  19.1  24.5   13:30 14.3   05:00     73   24   0.0   13.0   45.1   21:10   NNW
 13  20.1  22.9   16:40 17.8   23:00     75   37   0.0   10.5   35.4   05:20   NNW
 14  18.8  24.2   12:50 15.3   05:30     89   54   0.0    3.7   25.7   11:30   WNW
 15  15.9  18.1   13:30 13.8   05:50     86   72   0.0    4.4   24.1   11:00   SSE
 16  14.9  18.9   13:50 12.2   22:20     88   57   0.2    9.4   43.5   21:10   NNW
 17  12.9  16.1   14:00  9.9   06:10     58   25   0.0   27.4   69.2   04:30   NNW
 18  13.8  17.7   14:40 11.3   05:00     48   20   0.0   26.6   62.8   08:20   NNW
 19  11.6  14.8   14:20  8.6   05:40     51   36   0.0   21.8   59.5   09:20   NNW
 20  12.9  16.2   16:00  9.8   06:20     56   36   0.0   15.1   43.5   03:40   NNW
 21  14.6  17.4   13:20 11.4   05:40     74   50   0.0    9.6   29.0   13:00   SSE
 22  14.7  17.2   12:40 12.2   06:10     80   63   0.0    7.5   27.4   14:00   SSE
 23  15.6  17.6   12:00 13.6   23:30     79   63   0.0    8.7   37.0   10:30   SSE
 24  16.4  20.7   13:20 12.6   04:10     80   49   0.0    8.8   40.2   20:20   NNW
 25  17.3  21.2   15:00 14.6   02:10     86   45   0.0    9.3   38.6   06:00   NNW
 26  15.9  16.9   09:40 14.8   01:40     88   77   2.2    8.0   33.8   09:50   SSE
 27  15.9  18.4   16:00 14.1   05:30     88   66   0.8    5.3   32.2   13:30   NNW
 28  15.9  19.5   14:00 13.3   23:50     78   46   0.0    7.1   35.4   11:40    NW
 29  15.6  18.7   11:50 12.7   05:00     79   50   0.2    6.0   38.6   15:00    NW
 30  15.4  17.8   12:00 12.6   03:40     79   52   0.0    6.6   30.6   02:10   NNW
 31  15.6  17.8   09:10 14.4   16:20     90   67   8.2    6.1   37.0   08:40   WNW
------------------------------------------------------------------------------------
     15.5  24.5    12    8.6    19     79.1 53.2  35.6   10.8   75.6       9   NNW
