                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2019                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  14.7  15.4   12:10 13.1   08:00     86   72  11.4   29.2   74.0   05:40   SSE
 02  12.6  14.6   00:20 11.1   03:30     92   75  32.4    3.9   24.1   14:50    NW
 03  14.0  16.8   18:50 11.2   06:40     87   59  17.6   16.5   75.6   14:20   SSE
 04  12.7  14.6   13:10 10.4   07:00     78   50   0.8    5.2   38.6   02:40    NW
 05  11.9  14.4   13:10  8.1   20:20     84   43   6.6    6.5   62.8   19:10   NNW
 06   8.2  10.8   12:20  6.3   05:00     86   60   7.0   10.6   48.3   12:30    NW
 07   8.4  11.5   13:40  6.3   06:40     88   53   5.4    5.9   32.2   09:50    NW
 08   7.3   9.7   12:10  5.6   23:50     83   44   0.8   15.9   57.9   13:50    NW
 09   9.1  14.1   23:10  4.7   07:30     74   58   0.0   11.9   53.1   21:50   SSE
 10  14.9  16.7   11:20 12.5   00:50     82   60   9.2   31.5   66.0   11:00   SSE
 11  15.4  16.4   13:30 14.8   23:00     69   58   0.0   21.9   51.5   01:20   SSE
 12  15.4  16.6   12:50 14.9   23:10     72   59   0.0   23.3   54.7   04:10   SSE
 13  13.7  16.2   11:10 11.6   20:20     83   61   2.0    8.0   43.5   06:30   SSE
 14  11.7  13.4   09:50 10.3   04:40     87   63   9.4    4.0   24.1   00:50   NNW
 15  13.0  16.7   11:30  8.6   23:50     89   61  13.8   21.7   86.9   06:30   SSE
 16   8.4   9.7   14:10  7.1   08:00     69   40   0.0   26.1   77.2   12:30   NNW
 17  12.0  16.1   15:00  9.0   01:10     71   42   0.0    8.7   54.7   00:00   NNW
 18  13.4  16.8   12:50 10.3   02:00     81   58   0.0    3.8   24.1   12:30   SSE
 19  14.1  16.6   12:00 11.0   03:10     77   52   0.0    6.8   29.0   22:00   SSE
 20  14.9  16.2   12:00 12.3   21:30     87   65  29.2   20.3   45.1   20:00   SSE
 21  14.8  17.7   13:10 12.1   09:20     87   61  20.8   13.1   61.2   04:50   SSE
 22  13.9  17.0   14:10 11.5   06:00     87   66   0.0    2.3   17.7   14:30   NNW
 23  15.5  17.0   13:00 14.5   00:50     83   68   3.2   28.2   78.9   21:10   SSE
 24  15.0  17.1   11:30 12.3   21:20     86   63   7.8   26.7   88.5   07:30    SE
 25  16.2  17.8   13:10 12.5   01:40     89   62   7.0   37.1   90.1   18:00   SSE
 26  13.9  17.1   00:00 11.4   11:50     88   56  41.4   21.4   75.6   00:10   SSE
 27  13.0  16.0   12:40 11.1   02:20     89   61   0.8    4.3   25.7   01:10    NW
 28  14.0  17.2   13:30 11.3   07:00     82   59   0.2    4.2   25.7   13:20     S
 29  15.8  16.9   12:10 14.5   23:50     74   63   0.6   26.9   61.2   23:40   SSE
 30  15.5  17.2   10:20 13.3   20:10     76   52   3.6   26.4   77.2   09:00   SSE
 31  14.4  16.4   12:20 12.2   12:50     85   55  10.2   11.4   57.9   15:00     S
------------------------------------------------------------------------------------
     13.2  17.8    25    4.7     9     82.3 58.0 241.2   15.6   90.1      25   SSE
