                    MONTHLY CLIMATOLOGICAL SUMMARY for SEP. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   30.1  33.4   17:10  27.5   07:00     62   33   0.0   14.0   38.6   22:20   NNW
02   29.4  33.4   13:20  26.6   23:50     56   27   0.0   26.1   62.8   17:30   NNW
03   29.1  33.4   16:30  25.7   06:00     49   29   0.0   13.9   49.9   00:30   NNW
04   28.4  32.6   16:10  25.3   07:40     61   32   0.0    6.2   29.0   17:40   NNW
05   27.6  31.7   15:20  25.1   06:50     54   32   0.0   14.7   41.8   07:40   NNW
06   27.4  31.1   15:20  24.8   07:20     55   38   0.0   12.0   40.2   00:00   NNW
07   26.9  29.9   17:20  24.4   07:00     69   48   0.0    4.0   22.5   18:00   SSE
08   26.3  29.3   16:30  23.9   06:10     69   48   0.0    6.8   29.0   15:40   SSE
09   25.8  30.2   16:30  22.8   07:10     71   42   0.0    7.9   30.6   17:20   NNW
10   25.2  29.1   14:40  22.6   04:10     68   47   0.0   11.8   40.2   09:50   NNW
11   26.8  31.7   15:10  23.3   06:50     71   26   0.0   19.9   46.7   18:20   NNW
12   27.4  30.5   15:30  24.3   06:30     56   28   0.0    8.7   38.6   00:10   NNW
13   26.1  29.8   16:30  23.3   07:10     57   38   0.0    5.0   27.4   15:00   NNW
14   26.3  29.6   15:10  23.3   04:20     64   37   0.0    6.5   33.8   16:10   SSE
15   26.5  29.6   16:50  23.8   06:30     67   44   0.0    8.1   33.8   22:20   NNW
16   26.6  30.2   14:50  23.7   07:00     63   34   0.0   19.5   53.1   10:10   NNW
17   28.0  32.2   14:50  24.8   07:10     54   20   0.0   18.5   40.2   02:30   NNW
18   29.7  34.9   15:30  25.6   07:30     56   30   0.0    6.0   24.1   00:00   NNW
19   30.0  35.3   16:40  26.5   07:30     69   27   0.0    6.9   33.8   18:50   NNW
20   29.9  35.3   14:40  26.9   06:40     69   28   0.0    4.9   27.4   12:30     N
21   29.7  35.4   14:50  25.6   05:30     61   26   0.0    9.7   51.5   19:40   NNW
22   27.4  31.1   15:10  24.2   23:40     60   30   0.0   21.9   51.5   21:00   NNW
23   23.5  26.2   12:00  21.1   22:30     66   39   0.0   24.1   64.4   18:30   NNW
24   22.5  27.2   14:00  19.1   06:50     51   26   0.0   14.6   56.3   01:50   NNW
25   24.3  27.8   16:30  20.7   04:20     54   34   0.0    5.6   24.1   05:10   SSE
26   25.0  28.6   16:10  22.1   05:30     68   34   0.0    5.8   25.7   14:40   SSE
27   27.2  32.4   14:20  22.8   04:50     52   32   0.0    4.3   24.1   11:20   NNW
28   27.2  31.1   15:40  24.8   05:30     61   33   0.0    5.0   24.1   12:20   NNW
29   27.3  31.4   14:50  23.8   07:20     54   28   0.0   12.3   45.1   23:00   NNW
30   25.6  29.4   12:00  23.0   07:00     63   40   0.0   11.7   38.6   06:10   NNW
-----------------------------------------------------------------------------------
     27.1  35.4      21  19.1      24   61.0 33.7   0.0   11.2   64.4      23   NNW
