                    MONTHLY CLIMATOLOGICAL SUMMARY for FEB. 2020                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  14.6  17.9   16:30 11.3   05:50     81   55   0.0    2.4   14.5   05:40    NW
 02  15.1  17.5   12:40 12.7   07:00     84   68   0.0    6.8   25.7   11:50   SSE
 03  15.5  17.4   11:40 13.6   02:50     87   73   0.0    6.6   24.1   12:00   SSE
 04  15.9  18.3   12:40 13.4   05:20     88   62   0.0    8.0   37.0   22:30   SSE
 05  16.6  17.7   15:20 14.9   18:20     87   52   8.6   33.5   77.2   17:30   SSE
 06  12.7  15.6   12:20  9.9   21:40     81   53  10.8    5.9   43.5   12:50   NNW
 07   9.4  10.9   00:00  7.8   23:50     83   55   0.8   15.9   53.1   21:50    NW
 08   8.6  11.5   10:50  5.5   23:50     57   27   0.0   21.6   54.7   01:10   NNW
 09   7.3   9.8   13:30  5.2   04:00     56   33   0.0   20.4   53.1   15:30   NNW
 10  10.4  14.3   16:20  5.8   02:10     83   44   0.0    7.1   37.0   12:10   NNW
 11  14.2  18.2   15:20 11.1   00:00     89   65   2.4    3.5   22.5   14:30    NW
 12  16.0  18.3   13:30 13.8   06:10     91   75   0.0    8.5   30.6   19:40   SSE
 13  16.3  19.7   13:20 13.7   05:50     91   58   0.2    4.2   20.9   15:20     S
 14  15.6  16.8   10:30 13.4   23:20     90   77  17.4   16.9   64.4   22:50   SSE
 15  13.7  14.7   23:40 10.4   16:00     93   77 105.4   21.7   67.6   05:20    SE
 16  15.5  18.8   13:10 12.8   06:00     83   53   0.0   10.8   35.4   13:40   NNW
 17  14.7  17.7   13:40 12.3   08:50     80   56   2.6    8.0   29.0   06:30   NNW
 18  14.3  17.3   12:10 11.8   03:50     80   64   0.0    3.3   24.1   15:20    SE
 19  14.8  18.8   15:40 12.2   04:50     79   53   0.0    4.2   25.7   13:00   SSE
 20  14.6  17.9   12:20 11.6   06:30     79   60   3.6    5.1   32.2   12:10    NW
 21  13.4  16.1   14:10 11.2   07:00     81   63   2.6   15.2   49.9   15:00   NNW
 22  12.4  15.6   12:50 10.7   04:40     71   54   0.0   15.1   45.1   01:50    NW
 23  12.7  15.4   13:40 10.0   04:10     71   56   0.0    8.1   25.7   12:00    NW
 24  14.3  17.9   14:20 11.2   05:00     73   51   0.0    7.8   30.6   11:20    NW
 25  16.5  21.8   13:50 12.7   01:50     71   28   0.0    8.9   37.0   04:40   NNW
 26  15.5  17.8   12:00 12.7   05:20     79   41   0.0   11.4   35.4   19:10   SSE
 27  16.5  17.7   13:00 15.1   23:50     88   72   0.0   21.4   54.7   11:00   SSE
 28  15.3  18.2   11:30 12.7   06:30     80   41   0.0    4.7   27.4   13:50   WSW
 29  12.3  14.7   05:40  9.8   11:20     87   51  16.0   21.1   74.0   14:30    NW
------------------------------------------------------------------------------------
     14.0  21.8    25    5.2     9     80.8 55.8 170.4   11.3   77.2       5   SSE
