                    MONTHLY CLIMATOLOGICAL SUMMARY for DEC. 2019                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  18.1  20.6   11:50 15.0   23:50     79   48   0.0   13.2   48.3   18:50   NNW
 02  15.5  18.0   12:10 14.0   06:00     67   47   0.0   13.4   51.5   04:40   NNW
 03  15.7  19.3   14:10 12.7   07:20     77   50   0.0    2.2   14.5   09:50    NW
 04  16.9  20.0   14:30 13.5   06:10     80   55   0.0    5.8   37.0   22:30   WNW
 05  15.1  18.3   12:20 13.1   23:50     77   47   0.0   14.6   45.1   00:50   NNW
 06  14.0  17.3   12:20 11.3   06:50     70   44   0.0    4.7   25.7   02:40    NW
 07  14.6  17.3   13:20 12.1   03:20     75   50   0.0    3.0   19.3   20:00    SW
 08  16.6  19.8   12:00 14.2   03:00     86   56   0.0    9.4   46.7   19:10    NW
 09  16.3  19.8   13:00 13.8   06:20     70   42   0.0    8.2   33.8   02:40    NW
 10  16.3  18.5   15:00 13.4   04:20     76   48   0.0    9.9   43.5   18:10   SSE
 11  17.2  18.8   13:30 14.8   08:40     90   72  49.6    9.2   59.5   03:40   SSE
 12  15.4  17.1   20:50 12.7   10:50     91   70  24.4    0.3    1.6   02:40    NW
 13  16.2  18.9   12:10 13.8   03:10     87   62   2.6    0.9    1.6   00:00     S
 14  16.6  18.8   13:30 14.3   22:10     88   59  32.8    0.3    1.6   00:00   SSE
 15  17.3  19.6   13:00 15.6   00:20     83   63   0.0    0.0    0.0   00:00   ---
 16  17.8  21.3   13:40 15.2   00:50     78   47   0.0    1.1   25.7   20:00    NW
 17  16.6  19.6   12:20 14.4   04:30     84   63   0.0    1.7   14.5   00:10   SSW
 18  16.7  19.4   12:50 14.4   03:10     87   72   0.0    3.1   17.7   12:30   SSE
 19  16.2  18.8   11:30 14.1   05:20     88   66   0.0    1.8   12.9   13:10   SSE
 20  15.8  18.4   14:00 13.6   05:30     85   68   0.0    1.8   19.3   15:00   SSE
 21  16.3  19.1   13:10 13.8   05:30     86   71   0.0    3.5   17.7   12:30   SSE
 22  18.2  20.0   11:00 15.7   00:00     85   64   0.0   20.8   59.5   21:30   SSE
 23  17.8  19.9   13:10 14.4   23:50     84   46   8.2   21.5   77.2   06:00   SSE
 24  14.9  17.1   12:10 12.8   05:20     85   54   7.4    8.4   37.0   05:00    NW
 25  13.1  15.1   13:30 11.2   22:40     80   60   3.6   10.8   40.2   19:50    NW
 26  13.2  15.7   13:30 10.6   00:50     87   56   1.8   15.6   51.5   15:00    NW
 27  12.8  14.9   13:50 11.1   07:10     68   49   0.0   16.7   53.1   02:50   NNW
 28  12.5  15.5   13:50 10.2   22:50     80   43   2.2    6.4   25.7   03:10    NW
 29  12.4  14.6   12:10 10.2   02:50     89   59   8.4    6.8   56.3   19:30   NNW
 30  12.4  15.1   13:00  9.2   07:00     91   66  34.6   10.4   56.3   02:20   NNW
 31  13.0  15.8   13:00 10.7   07:30     84   60   1.2    4.1   20.9   13:30   NNW
------------------------------------------------------------------------------------
     15.5  21.3    16    9.2    30     81.8 56.7 176.8    7.4   77.2      23    NW
