                    MONTHLY CLIMATOLOGICAL SUMMARY for MAY. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                   
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr)                  
                                                                                   
                                                           AVG                     
     MEAN                                MAX  MIN         WIND                  DOM
DAY  TEMP  HIGH    TIME   LOW    TIME     RH   RH  RAIN  SPEED   HIGH    TIME   DIR
-----------------------------------------------------------------------------------
01   24.8  28.4   20:50  21.0   07:50     68   20   0.0    2.7   14.5   01:10   NNW
02   26.3  33.1   11:40  22.1   07:00     67   18   0.0    4.3   25.7   12:50   SSE
03   28.1  35.4   14:50  22.7   02:50     54   14   0.0    4.0   24.1   18:20   NNW
04   26.9  32.4   16:20  22.2   06:10     67   17   0.0    9.3   51.5   21:20   NNW
05   26.2  30.8   13:20  22.1   07:00     52   24   0.0   10.5   43.5   15:50   NNW
06   24.2  28.2   13:50  21.0   02:30     61   37   0.0    6.8   38.6   22:40   NNW
07   24.6  27.7   12:50  21.9   22:50     70   39   0.0   10.8   41.8   01:00   SSE
08   21.4  23.2   10:50  20.0   06:50     85   60   0.0    4.8   46.7   14:30   SSE
09   25.7  31.2   13:30  19.7   04:20     79   28   0.0   14.0   45.1   20:40   NNW
10   24.7  28.2   18:00  21.4   07:40     60   27   0.0    8.0   33.8   00:10   NNW
11   23.1  27.8   17:30  20.1   06:00     71   36   0.0    4.7   25.7   16:40   SSE
12   21.7  24.7   14:50  19.1   05:20     71   54   0.0    4.8   25.7   12:30   SSE
13   20.9  23.9   16:20  18.9   04:30     83   52   0.0    5.4   27.4   16:10   SSE
14   21.0  25.2   16:00  17.6   06:50     89   52   0.0    4.8   25.7   16:20   SSE
15   21.7  28.3   15:00  17.4   05:10     73   26   0.0    4.9   29.0   15:00   SSE
16   21.8  26.2   15:20  18.8   06:20     70   44   0.0    6.8   37.0   14:30   SSE
17   23.9  29.4   15:50  19.0   05:20     71   28   0.0    9.4   35.4   04:50   NNW
18   22.4  25.7   11:20  19.6   07:00     84   39   0.0    4.8   27.4   00:20   NNW
19   22.4  26.1   16:30  19.3   04:00     86   54   0.0    6.3   27.4   15:00   SSE
20   22.9  27.1   14:50  18.8   06:10     83   47   0.0    6.1   35.4   15:00   SSE
21   21.8  25.3   12:10  17.8   23:20     73   33   0.0   14.4   57.9   19:20   NNW
22   21.0  25.2   16:10  17.3   04:00     64   40   0.0   27.2   67.6   18:10   NNW
23   25.8  31.7   15:50  20.6   00:50     60   17   0.0   17.2   46.7   01:10   NNW
24   29.6  35.5   14:30  23.6   22:50     71   17   0.0   12.4   35.4   00:00   NNW
25   27.8  34.5   18:20  22.2   01:40     79   23   0.0    4.3   25.7   16:00    SE
26   26.6  33.1   14:50  23.3   05:10     84   30   0.0    5.6   20.9   13:50     N
27   25.8  33.2   12:20  22.5   23:30     78   29   0.0    4.8   22.5   11:30     N
28   25.3  29.6   13:30  21.9   02:40     60   32   0.0    7.1   46.7   17:30   NNW
29   25.3  29.4   14:00  21.8   06:00     60   29   0.0   18.8   48.3   18:30   NNW
30   23.6  27.0   10:40  21.9   07:50     81   39   0.0    7.5   37.0   00:00   NNW
31   23.6  28.2   15:50  20.9   06:10     80   42   0.0    6.8   27.4   17:50     N
-----------------------------------------------------------------------------------
     24.2  35.5      24  17.3      22   72.1 33.8   0.0    8.4   67.6      22   NNW
