                    MONTHLY CLIMATOLOGICAL SUMMARY for JAN. 2021                    
                                                                                    
NAME: Lindos         ELEV: 45   m     LAT: 36deg 06min     LONG: 28deg 06min
                                                                                    
                 TEMPERATURE (`C), RAIN  (mm), WIND SPEED (km/hr) 
                                                                                    
                                                          AVG
     MEAN                               MAX  MIN          WIND                 DOM
 DAY TEMP  HIGH   TIME   LOW   TIME     RH   RH    RAIN   SPEED HIGH   TIME    DIR
------------------------------------------------------------------------------------
 01  16.1  18.9   11:20 13.7   02:20     88   66   0.2    5.5   29.0   11:30   SSE
 02  16.0  18.7   12:50 13.9   06:50     84   68   0.0    1.5   16.1   12:30   SSE
 03  16.5  19.6   13:10 14.3   03:10     86   61   0.0    1.2   12.9   07:00     N
 04  17.0  19.3   12:20 14.2   02:20     87   67   0.0   12.7   51.5   19:30   SSE
 05  16.7  19.2   13:30 13.2   23:00     90   49  34.4   11.5   59.5   05:10   SSE
 06  15.1  18.0   12:40 12.6   03:40     81   63   0.0    1.6   14.5   12:30    NW
 07  16.6  19.0   13:30 14.7   06:50     88   75   0.0    1.9   12.9   13:40     S
 08  17.2  19.2   12:10 15.8   23:40     91   77   0.0    4.6   20.9   12:20     S
 09  16.8  18.3   13:20 15.4   05:00     87   76   1.0    9.1   27.4   14:20   SSE
 10  17.8  19.2   14:10 17.1   00:00     86   77   0.0   10.5   30.6   03:20   SSE
 11  18.3  19.4   13:00 17.5   00:00     90   85   0.0   16.4   35.4   12:20   SSE
 12  18.4  19.1   18:00 17.9   04:30     90   83   0.0   28.6   64.4   14:00   SSE
 13  16.5  18.7   01:30 11.5   23:30     84   52   0.6   10.9   41.8   12:40   NNW
 14  12.2  14.7   14:40  9.5   09:00     88   54  11.6    7.0   56.3   08:50   NNW
 15  13.9  17.6   13:20 10.6   02:50     77   56   0.2    9.5   33.8   09:20   NNW
 16  13.8  16.6   16:50 11.1   03:10     80   52   3.6   11.4   51.5   15:30   NNW
 17  10.4  12.4   13:20  7.3   23:20     79   42   2.6   13.2   56.3   14:30   NNW
 18   7.9   9.0   05:40  6.7   06:40     87   60   5.6    7.4   37.0   00:10   NNW
 19   8.6  11.2   13:30  6.1   07:20     70   34   0.0   17.0   51.5   13:20   NNW
 20   9.4  12.6   13:50  6.1   05:40     64   26   0.0   16.2   49.9   09:00   NNW
 21  11.7  15.0   14:40  8.2   04:00     89   60   2.2    4.2   24.1   16:30   SSE
 22  13.3  15.2   13:10 11.9   04:20     89   67   9.0    3.2   19.3   14:40   SSE
 23  14.7  16.6   12:30 11.8   07:30     83   60   0.0   11.2   43.5   23:40   SSE
 24  16.3  18.3   11:50 14.4   06:00     82   61   3.0   22.1   57.9   05:10   SSE
 25  16.9  18.4   11:30 15.8   01:40     82   65   0.0   23.8   61.2   11:00   SSE
 26  17.4  18.5   13:00 16.8   05:40     83   65   0.0   28.2   61.2   23:50   SSE
 27  14.1  18.2   02:50  9.2   23:30     85   43   5.8   20.0   78.9   02:50   SSE
 28  10.1  13.7   12:10  7.2   23:50     76   33   0.0    7.5   35.4   19:00   NNW
 29  10.6  14.3   15:10  7.0   00:30     77   46   0.0    6.0   32.2   06:10   NNW
 30  15.8  18.3   13:50 11.3   00:00     92   58   2.2   14.1   57.9   14:50     S
 31  15.9  18.0   14:30 12.1   07:10     79   52   0.0   10.5   35.4   23:30   SSE
------------------------------------------------------------------------------------
     14.6  19.6     3    6.1    19     83.7 59.1  82.0   11.2   78.9      27   SSE
