Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Apr 5, 2016, 3:00:00 AM",34,point { size:7; fill-color:#0D3E7B; },"Ημ/νία: 2016-04-05
Σημείο: 34 (Water)
Chl-a (Gadouras Poly2): 1.319"
"Apr 5, 2016, 3:00:00 AM",35,point { size:7; fill-color:#307DBC; },"Ημ/νία: 2016-04-05
Σημείο: 35 (Water)
Chl-a (Gadouras Poly2): 6.042"
"Apr 5, 2016, 3:00:00 AM",36,point { size:7; fill-color:#4A93C7; },"Ημ/νία: 2016-04-05
Σημείο: 36 (Water)
Chl-a (Gadouras Poly2): 7.842"
"Apr 5, 2016, 3:00:00 AM",37,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 37 (Water)
Chl-a (Gadouras Poly2): -5.402"
"Apr 5, 2016, 3:00:00 AM",38,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 38 (Water)
Chl-a (Gadouras Poly2): -6.423"
"Apr 5, 2016, 3:00:00 AM",39,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-04-05
Σημείο: 39 (Land)"
"Apr 5, 2016, 3:00:00 AM",40,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 40 (Water)
Chl-a (Gadouras Poly2): -109.560"
"Apr 5, 2016, 3:00:00 AM",41,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 41 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",42,point { size:7; fill-color:#08306B; },"Ημ/νία: 2016-04-05
Σημείο: 42 (Water)
Chl-a (Gadouras Poly2): -109.560"
"Apr 5, 2016, 3:00:00 AM",43,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 43 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",44,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 44 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",45,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 45 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",46,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 46 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",47,point { size:7; fill-color:#AAD7BF; },"Ημ/νία: 2016-04-05
Σημείο: 47 (Water)
Chl-a (Gadouras Poly2): 13.692"
"Apr 5, 2016, 3:00:00 AM",48,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-04-05
Σημείο: 48 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Apr 5, 2016, 3:00:00 AM",49,point { size:7; fill-color:#AAD7BF; },"Ημ/νία: 2016-04-05
Σημείο: 49 (Water)
Chl-a (Gadouras Poly2): 13.693"
"Jun 24, 2016, 3:00:00 AM",0,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-06-24
Σημείο: 0 (Land)"
"Jun 24, 2016, 3:00:00 AM",1,point { size:7; fill-color:#6b7280; },"Ημ/νία: 2016-06-24
Σημείο: 1 (Land)"
"Jun 24, 2016, 3:00:00 AM",2,point { size:7; fill-color:#70B1D4; },"Ημ/νία: 2016-06-24
Σημείο: 2 (Water)
Chl-a (Gadouras Poly2): 10.349"
"Jun 24, 2016, 3:00:00 AM",3,point { size:7; fill-color:#FED481; },"Ημ/νία: 2016-06-24
Σημείο: 3 (Water)
Chl-a (Gadouras Poly2): 21.264"
"Jun 24, 2016, 3:00:00 AM",4,point { size:7; fill-color:#ECE398; },"Ημ/νία: 2016-06-24
Σημείο: 4 (Water)
Chl-a (Gadouras Poly2): 18.471"
"Jun 24, 2016, 3:00:00 AM",5,point { size:7; fill-color:#FCA35C; },"Ημ/νία: 2016-06-24
Σημείο: 5 (Water)
Chl-a (Gadouras Poly2): 25.873"
"Jun 24, 2016, 3:00:00 AM",6,point { size:7; fill-color:#FCA85E; },"Ημ/νία: 2016-06-24
Σημείο: 6 (Water)
Chl-a (Gadouras Poly2): 25.575"
