Ημερομηνία,Θέση στη Γραμμή,undefined,undefined
"Mar 26, 2017, 2:00:00 AM",36,point { size: 7; fill-color: #0076D5; },"Ημ/νία: 2017-03-26
Σημείο: 36 (Water)
AreaBGR: 60147.964"
"Mar 26, 2017, 2:00:00 AM",37,point { size: 7; fill-color: #0072D2; },"Ημ/νία: 2017-03-26
Σημείο: 37 (Water)
AreaBGR: 59585.464"
"Mar 26, 2017, 2:00:00 AM",38,point { size: 7; fill-color: #0090EF; },"Ημ/νία: 2017-03-26
Σημείο: 38 (Water)
AreaBGR: 65022.964"
"Mar 26, 2017, 2:00:00 AM",39,point { size: 7; fill-color: #0076D5; },"Ημ/νία: 2017-03-26
Σημείο: 39 (Water)
AreaBGR: 60585.464"
"Mar 26, 2017, 2:00:00 AM",40,point { size: 7; fill-color: #0072D2; },"Ημ/νία: 2017-03-26
Σημείο: 40 (Water)
AreaBGR: 59585.464"
"Mar 26, 2017, 2:00:00 AM",41,point { size: 7; fill-color: #0088E7; },"Ημ/νία: 2017-03-26
Σημείο: 41 (Water)
AreaBGR: 63460.464"
"Mar 26, 2017, 2:00:00 AM",42,point { size: 7; fill-color: #009FFD; },"Ημ/νία: 2017-03-26
Σημείο: 42 (Water)
AreaBGR: 67897.964"
"Mar 26, 2017, 2:00:00 AM",43,point { size: 7; fill-color: #0090EF; },"Ημ/νία: 2017-03-26
Σημείο: 43 (Water)
AreaBGR: 65022.964"
"Mar 26, 2017, 2:00:00 AM",44,point { size: 7; fill-color: #17ADFF; },"Ημ/νία: 2017-03-26
Σημείο: 44 (Water)
AreaBGR: 71085.464"
"Mar 26, 2017, 2:00:00 AM",45,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-03-26
Σημείο: 45 (Water)
AreaBGR: 61397.964"
"Mar 26, 2017, 2:00:00 AM",46,point { size: 7; fill-color: #0088E7; },"Ημ/νία: 2017-03-26
Σημείο: 46 (Water)
AreaBGR: 63647.964"
"Mar 26, 2017, 2:00:00 AM",47,point { size: 7; fill-color: #0094F2; },"Ημ/νία: 2017-03-26
Σημείο: 47 (Water)
AreaBGR: 65710.464"
"Mar 26, 2017, 2:00:00 AM",48,point { size: 7; fill-color: #009BF9; },"Ημ/νία: 2017-03-26
Σημείο: 48 (Water)
AreaBGR: 67522.964"
"Mar 26, 2017, 2:00:00 AM",49,point { size: 7; fill-color: #007DDD; },"Ημ/νία: 2017-03-26
Σημείο: 49 (Water)
AreaBGR: 61647.964"
"Mar 31, 2017, 3:00:00 AM",0,point { size: 7; fill-color: #0CA8FF; },"Ημ/νία: 2017-03-31
Σημείο: 0 (Water)
AreaBGR: 70210.464"
"Mar 31, 2017, 3:00:00 AM",1,point { size: 7; fill-color: #004EAE; },"Ημ/νία: 2017-03-31
Σημείο: 1 (Water)
AreaBGR: 52522.964"
"Mar 31, 2017, 3:00:00 AM",2,point { size: 7; fill-color: #0CA8FF; },"Ημ/νία: 2017-03-31
Σημείο: 2 (Water)
AreaBGR: 69772.964"
