Date,Field turbidity (1m NTU),Satellite raw value
"Apr 24, 2020, 3:00:00 AM",,-0.358
"Apr 29, 2020, 3:00:00 AM",,-0.416
"May 9, 2020, 3:00:00 AM",,-0.234
"May 14, 2020, 3:00:00 AM",,-0.436
"May 19, 2020, 3:00:00 AM",,-0.436
"May 24, 2020, 3:00:00 AM",,-0.18
"May 29, 2020, 3:00:00 AM",,-0.135
"Jun 8, 2020, 3:00:00 AM",,-0.109
"Jun 13, 2020, 3:00:00 AM",,-0.133
"Jun 18, 2020, 3:00:00 AM",,-0.19
"Jun 23, 2020, 3:00:00 AM",,-0.145
"Jun 28, 2020, 3:00:00 AM",,-0.116
"Jul 3, 2020, 3:00:00 AM",,-0.353
"Jul 8, 2020, 3:00:00 AM",,-0.272
"Jul 13, 2020, 3:00:00 AM",,-0.334
"Jul 18, 2020, 3:00:00 AM",,-0.276
"Jul 23, 2020, 3:00:00 AM",,-0.317
"Jul 28, 2020, 3:00:00 AM",,-0.268
"Aug 2, 2020, 3:00:00 AM",,-0.262
"Aug 7, 2020, 3:00:00 AM",,-0.333
"Aug 12, 2020, 3:00:00 AM",,-0.5
"Aug 17, 2020, 3:00:00 AM",,-0.443
"Aug 22, 2020, 3:00:00 AM",,-0.5
"Aug 27, 2020, 3:00:00 AM",,-0.362
"Sep 21, 2020, 3:00:00 AM",,-0.328
"Sep 26, 2020, 3:00:00 AM",,-0.2
"Oct 1, 2020, 3:00:00 AM",,-0.476
"Oct 6, 2020, 3:00:00 AM",,-0.148
"Nov 5, 2020, 2:00:00 AM",,-0.193
"Nov 25, 2020, 2:00:00 AM",,-0.381
"Dec 5, 2020, 2:00:00 AM",,-0.209
"Dec 10, 2020, 2:00:00 AM",,-0.185
"Dec 15, 2020, 2:00:00 AM",,-0.348
"Dec 20, 2020, 2:00:00 AM",,-0.332
"Dec 30, 2020, 2:00:00 AM",,-0.45
"Jan 19, 2021, 2:00:00 AM",,-0.367
"Feb 3, 2021, 2:00:00 AM",,-0.113
"Feb 13, 2021, 2:00:00 AM",,-0.315
"Feb 28, 2021, 2:00:00 AM",,-0.463
"Mar 25, 2021, 2:00:00 AM",,-0.251
"Apr 9, 2021, 3:00:00 AM",,-0.218
"May 9, 2021, 3:00:00 AM",,-0.253
"May 14, 2021, 3:00:00 AM",,-0.223
"May 19, 2021, 3:00:00 AM",,-0.16
"May 24, 2021, 3:00:00 AM",,-0.205
"May 29, 2021, 3:00:00 AM",,-0.182
"Jun 3, 2021, 3:00:00 AM",,-0.178
"Jun 8, 2021, 3:00:00 AM",,-0.183
"Jun 13, 2021, 3:00:00 AM",,-0.14
"Jun 18, 2021, 3:00:00 AM",,-0.314
"Jun 23, 2021, 3:00:00 AM",,-0.088
"Jun 28, 2021, 3:00:00 AM",,-0.286
"Jul 3, 2021, 3:00:00 AM",,-0.201
"Jul 8, 2021, 3:00:00 AM",,-0.321
"Jul 13, 2021, 3:00:00 AM",,-0.487
"Jul 18, 2021, 3:00:00 AM",,-0.224
"Aug 2, 2021, 3:00:00 AM",,-0.337
"Aug 7, 2021, 3:00:00 AM",,-0.141
"Aug 12, 2021, 3:00:00 AM",,-0.361
"Aug 22, 2021, 3:00:00 AM",,-0.394
"Aug 27, 2021, 3:00:00 AM",,-0.182
"Sep 1, 2021, 3:00:00 AM",,-0.38
