date,basin_rain_monthly_bar_mm3,basin_rain_monthly_rollmean_mm3,basin_et_monthly_bar_mm3_neg,basin_et_monthly_rollmean_mm3_neg,lake_rain_monthly_bar_mm3,lake_rain_monthly_rollmean_mm3,lake_evap_monthly_bar_mm3_neg,lake_evap_monthly_rollmean_mm3_neg,lindos_basin_monthly_bar_mm3,lindos_basin_monthly_rollmean_mm3,lindos_lake_monthly_bar_mm3,lindos_lake_monthly_rollmean_mm3,emponas_basin_monthly_bar_mm3,emponas_basin_monthly_rollmean_mm3,emponas_lake_monthly_bar_mm3,emponas_lake_monthly_rollmean_mm3
2017-08-31,1.5563927651912293,,-7.761102859625671,,0.0015098828009281454,,-0.010190188825037817,,0.0,,0.0,,3.188484914170938,,0.00303187795736,
2017-09-30,0.9003977849537014,1.2283952750724654,-6.78448336370183,-7.27279311166375,0.0008530156495454058,0.0011814492252367756,-0.008315523848027362,-0.00925285633653259,0.0,0.0,0.0,0.0,0.0,1.594242457085469,0.0,0.00151593897868
2017-10-31,15.810717076657866,6.0891692089342655,-8.81998237453285,-7.788522865953451,0.013396451719645113,0.005253116723372888,-0.009386663882727134,-0.00929745885193077,4.047372608949477,1.349124202983159,0.0033987041364399997,0.0011329013788133333,6.295897994833351,3.1614609696680964,0.00530182552252,0.00277790115996
2017-11-30,13.966855108104209,10.225989989905258,-10.930833683022247,-8.845099807085644,0.011797345964473412,0.00868227111122131,-0.0099767732186078,-0.009226320316454097,18.11140738405614,7.386259997668539,0.01477131995458,0.0060566746970066665,30.826226021593268,12.374041338808873,0.02510296898028,0.010134931500933333
2017-12-31,17.659697077279663,15.812423087347247,-9.939989210436657,-9.896935089330585,0.013208076704845102,0.012800624796321209,-0.00885887350203257,-0.009407436867789167,6.214248532398945,9.457676175134853,0.0051175240561999995,0.007762516049073333,15.004111889259027,17.37541196856188,0.012383786524119998,0.014262860342306666
2018-01-31,25.06433408818982,18.89696209119123,-12.358978433846394,-11.0766004424351,0.02090596332833822,0.015303795332552245,-0.011127299815256352,-0.009987648845298907,8.585288495607287,10.97031480402079,0.0072567139689,0.00904851932656,25.26520831456787,23.698515408473387,0.02142473075634,0.019637162086913334
2018-02-28,26.246153629143315,22.990061598204264,-10.506329582079314,-10.935099075454124,0.024321118391092293,0.019478386141425205,-0.010095465622016285,-0.0100272129797684,28.695791041497465,14.498442689834567,0.02786008765722,0.013411441894106665,29.10465513623157,23.12465844668616,0.02816481242674,0.020657776569066665
2018-03-31,10.191784015033031,20.500757244122056,-13.410819783378976,-12.092042599768229,0.01060843434837876,0.018611838689269758,-0.015218044323366573,-0.012146936586879736,0.24524693428685682,12.508775490463869,0.00025435741532,0.011790386347146666,3.5150797759997605,19.294981075599733,0.0037720717314399994,0.017787204971506664
2018-04-30,2.6705221629547027,13.036153269043682,-12.854883856414574,-12.257344407290953,0.0028267148529316334,0.012585422530800895,-0.01584902304789061,-0.013720844331091156,0.0,9.647012658594774,0.0,0.009371481690846666,2.370580941410522,11.663438617880617,0.00259821171052,0.011511698622899998
2018-05-31,2.7620125093797556,5.208106229122497,-11.763962253008701,-12.676555297600752,0.0028166029937909576,0.0054172507317004496,-0.015067502646599762,-0.015378190005952315,0.0,0.08174897809561894,0.0,8.478580510666551e-05,4.741383682467925,3.5423481332927356,0.004974623774159999,0.003781635738706666
