comparison,n_periods,station_mean_mm/month,satellite_mean_mm/month,bias_sat_minus_station_mm/month,mae_mm/month,rmse_mm/month,pearson_r,slope_sat_vs_station,total_sat_over_station
Basin satellite vs Lindos weather station (Meteo.gr) (Lindos),102,47.48039215686274,53.129371286378756,5.648979129516006,23.914134096454198,35.35452441458721,0.8502712026897394,0.7719932257130387,1.1189749888933789
Lake satellite vs Lindos weather station (Meteo.gr) (Lindos),102,47.48039215686274,52.705203570380284,5.224811413517536,23.326430934046876,34.319778127549554,0.8584129488961862,0.772307609482075,1.1100414545072865
Basin satellite vs Emponas weather station (Meteo.gr),102,70.27450980392157,53.129371286378756,-17.14513851754282,30.84564253665686,57.28883862847705,0.8187000573592621,0.5354284641339926,0.7560262097113049
Lake satellite vs Emponas weather station (Meteo.gr),102,70.27450980392157,52.705203570380284,-17.569306233541287,30.701179172043584,56.85257085405116,0.8261818151142829,0.535414712366819,0.7499903409847641
