comparison,n_periods,station_mean_mm/day,satellite_mean_mm/day,bias_sat_minus_station_mm/day,mae_mm/day,rmse_mm/day,pearson_r,slope_sat_vs_station,total_sat_over_station
Basin satellite vs Lindos weather station (Meteo.gr) (Lindos),3106,1.5592401802962008,1.744750763429051,0.18551058313285013,2.0277985356929413,7.330596511579279,0.4537686958784433,0.47145167980600894,1.1189749888933787
Lake satellite vs Lindos weather station (Meteo.gr) (Lindos),3106,1.5592401802962008,1.7308212376621983,0.1715810573659976,2.0497622203500674,7.516928229300602,0.4461909185032229,0.4792628340943283,1.1100414545072865
Basin satellite vs Emponas weather station (Meteo.gr),3091,2.3189906179230024,1.7531290416761962,-0.5658615762468062,2.43308301697178,8.625924195868482,0.5193760530491516,0.38039827701604645,0.7559879837920093
Lake satellite vs Emponas weather station (Meteo.gr),3091,2.3189906179230024,1.7392205642765413,-0.5797700536464612,2.4939778180596064,8.78681350129912,0.5074980777625129,0.384277682063271,0.7499903409847641
