date,elev_ext_m,elev_int_m,model_elev_m
2015-01-16,118.02621459960939,115,118.03687533852997
2015-02-16,118.3495509777268,115,118.08336705429544
2015-03-16,118.3495509777268,115,118.10384718599664
2015-04-16,118.13318634033203,115,117.91251516653067
2015-05-16,117.74142456054688,115,117.8477608267312
2015-06-16,117.28016918065464,115,117.4842276538297
2015-07-16,117.83550262451172,115,117.74252384067812
2015-08-16,116.16546630859375,115,116.91022751213113
2015-09-16,117.74142456054688,115,117.55044350053141
2015-10-16,117.40727233886719,115,117.61820027480822
2015-11-16,118.13318634033203,115,117.94428902973014
2015-12-16,117.9334945678711,115,117.82862820217255
2016-01-16,118.34886523562487,115,118.01125561973205
2016-02-16,118.34955097772679,115,117.97077515238638
2016-03-16,118.34794680658213,115,118.03687787983424
2016-04-16,118.13318634033203,115,117.83819288683937
2016-05-16,117.60826110839844,115,117.73295948307401
2016-06-16,117.03460802350726,115,117.27375896093208
2016-07-16,116.55365753173828,115,116.94759213523166
2016-08-16,116.72544352213542,115,116.76758152556793
2016-09-16,115.98688507080078,115,116.40404694566269
2016-10-16,115.0,115,116.26054613470991
2016-11-16,116.71978569030762,115,116.34577985140295
2016-12-16,115.0,115,116.3275100302951
2017-01-16,116.71978569030762,115,116.44231159320206
2017-02-16,117.08462742396763,115,116.64321079515155
2017-03-16,118.348193359375,115,117.67742201999978
2017-04-16,117.9334945678711,115,117.61593890493108
2017-05-16,117.74142456054688,115,117.57766934692143
2017-06-16,117.21498107910156,115,117.28196963265346
2017-07-16,117.08353042602539,115,117.13024849574106
2017-08-16,117.08462742396763,115,116.75800871506941
2017-09-16,115.0,115,116.13531876882828
2017-10-16,115.0,115,116.10661734096854
2017-11-16,115.00000000000001,115,115.87709797464949
2017-12-16,115.0,115,115.93442279945407
2018-01-16,115.0,115,116.06921569166798
2018-02-16,116.55365753173828,115,116.76758206463248
2018-03-16,117.60826110839844,115,117.44681456186501
2018-04-16,118.13318634033203,115,117.68511778046908
2018-05-16,117.27631378173828,115,117.32979795105591
2018-06-16,117.59436798095703,115,117.21635236165851
2018-07-16,116.98031616210938,115,116.60408132108387
2018-08-16,115.0,115,116.1066187869299
2018-09-16,115.0,115,115.46565901686296
2018-10-16,115.00000000000001,115,115.41700181034636
2018-11-16,115.0,115,115.12044011707928
2018-12-16,115.0,115,115.34129518375472
2019-01-16,117.40908813476562,115,117.36806401556494
2019-02-16,118.3495509777268,115,117.81034726002731
2019-03-16,118.02621459960939,115,117.66684651339988
2019-04-16,118.13318634033203,115,117.73159799026833
2019-05-16,117.9810733795166,115,117.74030245808815
2019-06-16,117.98173522949219,115,117.5990166524559
2019-07-16,117.40908813476562,115,117.33115683098406
2019-08-16,117.59436798095703,115,117.27153286175388
2019-09-16,116.55365753173828,115,116.49971151351127
2019-10-16,116.55365753173828,115,116.36416548799338
2019-11-16,117.74142456054688,115,117.40854640270518
2019-12-16,118.13318634033203,115,117.76029732528926
2020-01-16,118.3495509777268,115,117.84639737517335
2020-02-16,118.34955097772679,115,117.82726802577155
2020-03-16,118.34886523562486,115,117.8368333772476
2020-04-16,118.34886523562486,115,117.82726425322575
2020-05-16,117.9334945678711,115,117.63653544813955
2020-06-16,117.9810733795166,115,117.60858626933677
2020-07-16,117.9334945678711,115,117.56161538820145
2020-08-16,117.16773223876953,115,117.18765125904947
2020-09-16,116.87083435058594,115,116.53797654247279
2020-10-16,115.0,115,116.1448897229516
2020-11-16,115.0,115,116.25968348618355
2020-12-16,117.40908813476562,115,117.3694164348725
2021-01-16,118.13318634033203,115,117.64771276903656
2021-02-16,117.9334945678711,115,117.64610056496399
2021-03-16,118.3495509777268,115,117.66545978462123
2021-04-16,117.9334945678711,115,117.51378073964109
2021-05-16,117.9334945678711,115,117.52248339819724
2021-06-16,117.40908813476562,115,117.33115444007427
2021-07-16,117.08353042602539,115,117.12068975799804
2021-08-16,117.08353042602539,115,116.77628275990651
2021-09-16,115.0,115,115.81005323051792
2021-10-16,115.0,115,115.5900229360403
2021-11-16,115.0,115,115.6187232422834
2021-12-16,116.87212880452473,115,116.87281616329278
2022-01-16,117.40908813476562,115,117.35114963071409
2022-02-16,117.22236251831055,115,117.37898721685757
2022-03-16,117.74142456054688,115,117.35985396897723
2022-04-16,117.27293904622395,115,117.50421798835872
2022-05-16,117.40908813476562,115,117.35985386207032
2022-06-16,117.34270095825195,115,117.28418247990386
2022-07-16,117.03606541951497,115,117.12069049003863
2022-08-16,116.55365753173828,115,116.78585393509158
2022-09-16,115.0,115,116.11705200272148
2022-10-16,115.0,115,115.78135893914792
2022-11-16,115.0,115,115.80048680181879
2022-12-16,116.07099914550781,115,116.45102002473176
2023-01-16,117.08353042602539,115,116.85367694402693
2023-02-16,117.08503532409668,115,117.02501898773625
2023-03-16,117.74142456054688,115,117.34071690778151
2023-04-16,117.16773223876953,115,117.12068598635823
2023-05-16,116.71978569030762,115,116.99632742974057
2023-06-16,117.08503532409668,115,117.14938747582535
2023-07-16,116.55365753173828,115,116.56582059829675
2023-08-16,115.0,115,115.97268796069025
2023-09-16,115.0,115,114.7568338309811
2023-10-16,115.0,115,114.22200731698008
2023-11-16,115.0,115,113.96289191437559
2023-12-16,115.0,115,115.37964106307459
2024-01-16,115.0,115,116.03744090073388
2024-02-16,116.07099914550781,115,116.28838434961101
