date,height_filtered,,
10/3/2014,116.8753669,,
10/8/2014,116.8986411,,
10/14/2014,116.9263045,,
10/15/2014,116.9583571,,
10/15/2014,116.9947989,,
10/20/2014,117.0356299,,
10/26/2014,117.0808502,,
10/27/2014,117.1304596,,
11/1/2014,117.1844582,,
11/7/2014,117.2428461,,
11/8/2014,117.2469284,,
11/13/2014,117.2562247,,
11/25/2014,117.4232052,,
12/1/2014,117.5159452,,
12/2/2014,117.7152251,,
12/7/2014,117.7268355,,
12/13/2014,117.813134,,
12/14/2014,117.8661698,,
12/19/2014,117.8684356,,
12/25/2014,117.9140933,,
12/26/2014,117.9506333,,
12/31/2014,117.8923627,,
1/6/2015,117.8433547,,
1/12/2015,117.8691508,,
1/18/2015,117.8847532,,
1/30/2015,117.8191765,,
1/31/2015,117.8744551,,
2/5/2015,117.896931,,
2/17/2015,117.8839226,,
2/23/2015,117.8986046,,
2/24/2015,117.9577187,,
3/1/2015,117.9042114,,
3/7/2015,117.8758465,,
3/8/2015,117.7614025,,
3/13/2015,117.7234228,,
3/19/2015,117.7287979,,
3/25/2015,117.6526028,,
3/31/2015,117.5724126,,
4/1/2015,117.5282667,,
4/6/2015,117.4922795,,
4/12/2015,117.4650464,,
4/18/2015,117.4241349,,
4/24/2015,117.4113428,,
4/25/2015,117.4145604,,
4/30/2015,117.4338863,,
5/6/2015,117.425828,,
5/7/2015,117.4612017,,
5/7/2015,117.4546333,,
5/12/2015,117.4645878,,
5/18/2015,117.4326656,,
5/19/2015,117.4034237,,
5/24/2015,117.4193246,,
5/31/2015,117.4288899,,
6/11/2015,117.4737351,,
6/12/2015,117.3944622,,
6/17/2015,117.3991712,,
6/24/2015,117.4282778,,
6/29/2015,117.4679443,,
7/6/2015,117.4754202,,
7/11/2015,117.4645179,,
7/17/2015,117.4790792,,
7/18/2015,117.4766347,,
7/23/2015,117.438517,,
7/29/2015,117.3952357,,
7/30/2015,117.3779,,
8/11/2015,117.2652521,,
8/16/2015,117.1716338,,
8/22/2015,117.1226218,,
8/23/2015,117.1012092,,
8/28/2015,117.0502282,,
9/3/2015,117.0386847,,
9/4/2015,117.0743653,,
9/16/2015,117.0919527,,
9/21/2015,117.1260128,,
9/27/2015,117.2023136,,
9/28/2015,117.3039872,,
10/3/2015,117.4144109,,
10/9/2015,117.4887249,,
10/10/2015,117.536613,,
10/15/2015,117.5809726,,
10/27/2015,117.5520376,,
11/2/2015,117.5346957,,
11/3/2015,117.5787165,,
11/14/2015,117.5497107,,
11/15/2015,117.5497479,,
11/20/2015,117.6293821,,
11/26/2015,117.6531893,,
11/27/2015,117.6138439,,
12/2/2015,117.7264728,,
12/8/2015,117.7505091,,
12/9/2015,117.733264,,
12/14/2015,117.7988107,,
12/20/2015,117.7795157,,
12/21/2015,117.7689076,,
12/26/2015,117.7459863,,
1/1/2016,117.7127545,,
1/2/2016,117.7840858,,
1/7/2016,117.7151725,,
1/13/2016,117.6430637,,
1/14/2016,117.6038881,,
1/19/2016,117.6104166,,
1/25/2016,117.5982888,,
1/26/2016,117.6087554,,
1/31/2016,117.6146298,,
1/31/2016,117.6760279,,
2/6/2016,117.7392605,,
2/7/2016,117.8943609,,
2/12/2016,117.8936864,,
2/18/2016,117.9344458,,
2/19/2016,117.9628863,,
2/24/2016,117.8851663,,
3/1/2016,117.8722981,,
3/2/2016,117.9630686,,
3/7/2016,117.9955851,,
3/14/2016,117.9853211,,
3/19/2016,117.8542393,,
3/25/2016,117.8210372,,
3/26/2016,117.7385559,,
3/31/2016,117.8094215,,
4/6/2016,117.7498757,,
4/7/2016,117.6866064,,
4/12/2016,117.7641199,,
4/18/2016,117.7324803,,
4/19/2016,117.6398417,,
4/24/2016,117.6183516,,
4/30/2016,117.5907236,,
5/1/2016,117.5031725,,
5/6/2016,117.4874847,,
5/12/2016,117.4765122,,
5/13/2016,117.4375922,,
5/18/2016,117.5206457,,
5/24/2016,117.4386015,,
5/25/2016,117.4399332,,
5/30/2016,117.4106705,,
6/5/2016,117.3977868,,
6/6/2016,117.4268275,,
6/11/2016,117.467015,,
6/29/2016,117.3196502,,
6/30/2016,117.354138,,
7/5/2016,117.3507125,,
7/11/2016,117.1290756,,
7/17/2016,117.103969,,
7/23/2016,117.0763419,,
7/24/2016,116.9508156,,
7/29/2016,116.9034149,,
8/4/2016,116.8904834,,
8/5/2016,116.7600765,,
8/10/2016,116.7601057,,
8/16/2016,116.7373034,,
8/17/2016,116.5840057,,
8/22/2016,116.6426555,,
8/28/2016,116.6046612,,
8/29/2016,116.5792132,,
9/3/2016,116.5892866,,
9/9/2016,116.6222972,,
9/10/2016,116.602709,,
9/15/2016,116.6716024,,
9/21/2016,116.6104171,,
9/22/2016,116.5367461,,
9/27/2016,116.5596997,,
9/27/2016,116.5623932,,
9/28/2016,116.4427908,,
10/3/2016,116.5401698,,
10/3/2016,116.4664542,,
10/4/2016,116.3440075,,
10/9/2016,116.3999783,,
10/9/2016,116.3715719,,
10/10/2016,116.2645148,,
10/15/2016,116.4737307,,
10/15/2016,116.4260606,,
10/16/2016,116.3080407,,
10/21/2016,116.3962441,,
10/21/2016,116.5045312,,
10/22/2016,116.4156466,,
10/27/2016,116.4755082,,
10/27/2016,116.3984029,,
10/28/2016,116.3301429,,
11/2/2016,116.3758014,,
11/2/2016,116.4117811,,
11/3/2016,116.2588726,,
11/8/2016,116.3701079,,
11/8/2016,116.3219544,,
11/9/2016,116.271107,,
11/14/2016,116.3977046,,
11/14/2016,116.597954,,
11/15/2016,116.5064626,,
11/20/2016,116.6448337,,
11/20/2016,116.4641141,,
11/21/2016,116.307992,,
11/26/2016,116.3994697,,
11/26/2016,116.4744697,,
11/27/2016,116.3571327,,
12/2/2016,116.3355674,,
12/2/2016,116.2147439,,
12/3/2016,116.1589947,,
12/8/2016,116.1493074,,
12/8/2016,116.203088,,
12/9/2016,116.1030062,,
12/14/2016,116.1495613,,
12/14/2016,116.1032163,,
12/15/2016,116.1091061,,
12/20/2016,116.2166701,,
12/20/2016,116.3709023,,
12/21/2016,116.1636121,,
12/26/2016,116.1387957,,
12/26/2016,115.9575785,,
12/27/2016,115.8502234,,
1/1/2017,115.9072278,,
1/1/2017,115.946165,,
1/2/2017,115.8284126,,
1/7/2017,115.9012915,,
1/7/2017,115.8564825,,
1/8/2017,115.8527028,,
1/13/2017,115.8437868,,
1/13/2017,115.9259544,,
1/14/2017,115.7600084,,
1/19/2017,115.8426108,,
1/19/2017,115.8873441,,
1/20/2017,115.9667895,,
1/25/2017,116.0792888,,
1/25/2017,116.2692928,,
1/26/2017,116.1813087,,
1/31/2017,116.2124533,,
1/31/2017,116.1722269,,
2/1/2017,116.1159394,,
2/6/2017,116.2677727,,
2/6/2017,116.4234379,,
2/7/2017,116.4301389,,
2/12/2017,116.6055652,,
2/12/2017,116.5715661,,
2/13/2017,116.5720858,,
2/18/2017,116.6067705,,
2/18/2017,116.7406073,,
2/19/2017,116.6257165,,
2/24/2017,116.6743919,,
2/24/2017,116.5663609,,
2/25/2017,116.4911079,,
3/2/2017,116.4367864,,
3/2/2017,116.4730858,,
3/3/2017,116.3400106,,
3/8/2017,116.3828571,,
3/8/2017,116.3946625,,
3/9/2017,116.4647324,,
3/14/2017,116.7234091,,
3/14/2017,116.9289142,,
3/15/2017,117.020835,,
3/20/2017,117.2623596,,
3/20/2017,117.3419301,,
3/21/2017,117.4681849,,
3/26/2017,117.5954418,,
3/26/2017,117.7111579,,
3/27/2017,117.6017183,,
4/1/2017,117.5507868,,
4/1/2017,117.4609337,,
4/2/2017,117.4169549,,
4/7/2017,117.3900482,,
4/7/2017,117.4578266,,
4/8/2017,117.350364,,
4/13/2017,117.3974746,,
4/13/2017,117.4146519,,
4/14/2017,117.432345,,
4/19/2017,117.5170133,,
4/19/2017,117.5827059,,
4/20/2017,117.5703317,,
4/25/2017,117.6056608,,
4/25/2017,117.5924909,,
4/26/2017,117.6018801,,
5/1/2017,117.5682733,,
5/1/2017,117.6385223,,
5/2/2017,117.5716002,,
5/7/2017,117.5457373,,
5/7/2017,117.4739766,,
5/8/2017,117.4457368,,
5/13/2017,117.4411521,,
5/13/2017,117.4558434,,
5/14/2017,117.3338452,,
5/19/2017,117.3375188,,
5/19/2017,117.2890402,,
5/20/2017,117.2437077,,
5/25/2017,117.2760792,,
5/25/2017,117.3134401,,
5/26/2017,117.2772985,,
5/31/2017,117.2851106,,
5/31/2017,117.2317342,,
6/1/2017,117.2055927,,
6/6/2017,117.1990292,,
6/6/2017,117.2598492,,
6/7/2017,117.149,,
6/12/2017,117.179452,,
6/12/2017,117.1448364,,
6/13/2017,117.156487,,
6/18/2017,117.1960084,,
6/18/2017,117.2160279,,
6/19/2017,117.1618523,,
6/24/2017,117.1095219,,
6/24/2017,117.0677996,,
6/25/2017,117.0708713,,
6/30/2017,117.1082415,,
6/30/2017,117.0822778,,
7/1/2017,117.0461375,,
7/6/2017,116.9991278,,
7/6/2017,116.9084334,,
7/12/2017,116.9245299,,
7/12/2017,116.8765391,,
7/13/2017,116.8314719,,
7/18/2017,116.785521,,
7/18/2017,116.8009452,,
7/19/2017,116.7196563,,
7/24/2017,116.6867174,,
7/24/2017,116.6974131,,
7/25/2017,116.6307678,,
7/30/2017,116.5993503,,
7/30/2017,116.5376011,,
7/31/2017,116.5058218,,
8/5/2017,116.6019306,,
8/5/2017,116.5782251,,
8/6/2017,116.5009682,,
8/11/2017,116.5353047,,
8/11/2017,116.4723344,,
8/12/2017,116.465923,,
8/17/2017,116.5074126,,
8/17/2017,116.4971322,,
8/18/2017,116.496291,,
8/23/2017,116.5306891,,
8/23/2017,116.4716935,,
8/24/2017,116.4176687,,
8/29/2017,116.4511849,,
8/29/2017,116.4111225,,
8/30/2017,116.3053786,,
9/4/2017,116.350138,,
9/4/2017,116.3089832,,
9/5/2017,116.2615829,,
9/10/2017,116.2780425,,
9/10/2017,116.2306683,,
9/11/2017,116.1579624,,
9/16/2017,116.181184,,
9/16/2017,116.108149,,
9/17/2017,116.0895621,,
9/22/2017,116.1930336,,
9/22/2017,116.1702915,,
9/23/2017,116.0579182,,
9/28/2017,116.0870531,,
9/28/2017,116.0271402,,
9/29/2017,115.9939898,,
10/4/2017,116.0410093,,
10/4/2017,116.0748187,,
10/5/2017,116.0157249,,
10/10/2017,116.1310801,,
10/10/2017,116.0925869,,
10/11/2017,116.0865701,,
10/16/2017,116.1107479,,
10/16/2017,116.0755626,,
10/17/2017,115.9343742,,
10/22/2017,115.9851004,,
10/22/2017,115.9351137,,
10/23/2017,115.9224449,,
10/28/2017,115.9776502,,
10/28/2017,115.914831,,
10/29/2017,115.8517302,,
11/3/2017,115.9241539,,
11/3/2017,115.8390142,,
11/4/2017,115.8087895,,
11/9/2017,115.8542105,,
11/9/2017,115.84051,,
11/10/2017,115.7285697,,
11/15/2017,115.7812441,,
11/15/2017,115.6729465,,
11/16/2017,115.6269208,,
11/21/2017,115.5606068,,
11/21/2017,115.4774874,,
11/22/2017,115.4290716,,
11/27/2017,115.4852256,,
11/27/2017,115.4165007,,
11/28/2017,115.4082901,,
12/3/2017,115.5090615,,
12/3/2017,115.5410345,,
12/4/2017,115.5291132,,
12/9/2017,115.6102658,,
12/9/2017,115.5831539,,
12/10/2017,115.5837488,,
12/15/2017,115.6328629,,
12/15/2017,115.6828452,,
12/16/2017,115.6896205,,
12/21/2017,115.7439947,,
12/21/2017,115.7237289,,
12/22/2017,115.7212671,,
12/27/2017,115.7853972,,
12/27/2017,115.7806683,,
12/28/2017,115.7665975,,
1/2/2018,115.7627846,,
1/2/2018,115.6815856,,
1/3/2018,115.6401791,,
1/8/2018,115.6316121,,
1/8/2018,115.6500451,,
1/9/2018,115.5774843,,
1/14/2018,115.6045573,,
1/14/2018,115.5391813,,
1/15/2018,115.5138465,,
1/20/2018,115.6051743,,
1/20/2018,115.6763282,,
1/21/2018,115.6741844,,
1/26/2018,115.7490429,,
1/26/2018,115.7463751,,
1/27/2018,115.7764529,,
2/1/2018,115.8477771,,
2/1/2018,115.8894414,,
2/2/2018,115.9055856,,
2/7/2018,115.9440889,,
2/7/2018,115.9104113,,
2/8/2018,115.9141614,,
2/13/2018,115.9757152,,
2/13/2018,116.0435184,,
2/14/2018,116.013513,,
2/19/2018,116.1466559,,
2/19/2018,116.202571,,
2/20/2018,116.2996409,,
2/25/2018,116.4970752,,
2/25/2018,116.6268027,,
2/26/2018,116.7167713,,
3/3/2018,116.8190433,,
3/3/2018,116.9032499,,
3/4/2018,117.0200867,,
3/9/2018,117.1183282,,
3/9/2018,117.1615975,,
3/10/2018,117.2079518,,
3/15/2018,117.2764785,,
3/15/2018,117.2457585,,
3/21/2018,117.2970836,,
3/21/2018,117.3424976,,
3/22/2018,117.327157,,
3/27/2018,117.33751,,
3/27/2018,117.3431809,,
3/28/2018,117.3090009,,
4/2/2018,117.3773361,,
4/2/2018,117.3827413,,
4/3/2018,117.3064162,,
4/8/2018,117.2526838,,
4/8/2018,117.2032645,,
4/9/2018,117.1713958,,
4/14/2018,117.1607218,,
4/14/2018,117.1628934,,
4/15/2018,117.1435475,,
4/20/2018,117.2483198,,
4/20/2018,117.2462923,,
4/21/2018,117.2310681,,
4/26/2018,117.3037775,,
4/26/2018,117.3001265,,
4/27/2018,117.2497647,,
5/2/2018,117.2889049,,
5/2/2018,117.3023105,,
5/3/2018,117.3138655,,
5/8/2018,117.3779133,,
5/8/2018,117.3245387,,
5/9/2018,117.2790973,,
5/14/2018,117.2694821,,
5/14/2018,117.190536,,
5/15/2018,117.1427116,,
5/20/2018,117.1442623,,
5/20/2018,117.1623879,,
5/21/2018,117.1641548,,
5/26/2018,117.1482548,,
5/26/2018,117.0689518,,
5/27/2018,117.0293605,,
6/1/2018,117.0598682,,
6/1/2018,117.0146183,,
6/2/2018,116.9473061,,
6/7/2018,116.9319005,,
6/8/2018,116.9158748,,
6/13/2018,116.8730402,,
6/13/2018,116.8821968,,
6/14/2018,116.86669,,
6/19/2018,116.7850805,,
6/19/2018,116.7353773,,
6/25/2018,116.6668107,,
6/25/2018,116.5985896,,
6/26/2018,116.6226112,,
7/1/2018,116.5554255,,
7/1/2018,116.4442937,,
7/2/2018,116.3753667,,
7/7/2018,116.3539801,,
7/8/2018,116.2729359,,
7/13/2018,116.2685002,,
7/13/2018,116.2463521,,
7/14/2018,116.1744241,,
7/19/2018,116.2104799,,
7/19/2018,116.2625365,,
7/20/2018,116.190889,,
7/25/2018,116.2716869,,
7/25/2018,116.2680429,,
7/26/2018,116.2344449,,
7/31/2018,116.27082,,
7/31/2018,116.3166877,,
8/1/2018,116.2639606,,
8/6/2018,116.2502954,,
8/6/2018,116.148004,,
8/7/2018,116.0263092,,
8/12/2018,116.0337068,,
8/12/2018,116.0406816,,
8/13/2018,115.9124365,,
8/18/2018,115.9394998,,
8/18/2018,115.9133308,,
8/19/2018,115.7953941,,
8/24/2018,115.8285639,,
8/24/2018,115.8196073,,
8/25/2018,115.7112415,,
8/30/2018,115.7374374,,
8/30/2018,115.6906214,,
8/31/2018,115.6139969,,
9/5/2018,115.6142282,,
9/5/2018,115.634743,,
9/6/2018,115.4968545,,
9/11/2018,115.5160995,,
9/11/2018,115.4785927,,
9/12/2018,115.4702724,,
9/17/2018,115.5078041,,
9/17/2018,115.56831,,
9/18/2018,115.4632494,,
9/23/2018,115.4717267,,
9/23/2018,115.4939991,,
9/24/2018,115.438176,,
9/29/2018,115.5594812,,
9/29/2018,115.6395834,,
9/30/2018,115.5444631,,
10/5/2018,115.6133145,,
10/5/2018,115.6096639,,
10/6/2018,115.5350354,,
10/11/2018,115.5108629,,
10/11/2018,115.5007417,,
10/12/2018,115.3620584,,
10/17/2018,115.3601203,,
10/17/2018,115.3633498,,
10/18/2018,115.3219668,,
10/23/2018,115.2745652,,
10/23/2018,115.3368607,,
10/24/2018,115.2068899,,
10/29/2018,115.2932764,,
10/29/2018,115.3222065,,
10/30/2018,115.3618664,,
11/4/2018,115.4738739,,
11/4/2018,115.5440305,,
11/5/2018,115.4878452,,
11/10/2018,115.5238235,,
11/10/2018,115.4897019,,
11/11/2018,115.4139186,,
11/16/2018,115.3190301,,
11/16/2018,115.2638877,,
11/17/2018,115.1187722,,
11/22/2018,115.0793724,,
11/22/2018,115.014824,,
11/23/2018,114.8680973,,
11/28/2018,114.9062464,,
11/28/2018,114.8172309,,
11/29/2018,114.6617519,,
12/4/2018,114.701268,,
12/4/2018,114.616705,,
12/5/2018,114.6419496,,
12/10/2018,114.6853848,,
12/11/2018,114.6711477,,
12/16/2018,114.718789,,
12/16/2018,114.7869991,,
12/17/2018,114.8414144,,
12/22/2018,114.9029668,,
12/22/2018,115.0012287,,
12/23/2018,115.073249,,
12/28/2018,115.1892433,,
12/28/2018,115.2799142,,
12/29/2018,115.3761035,,
